# line thread mrep count
1 1 skip_list 465439
2 1 cuckoo 1848812
3 1 prefix_hash 711283
4 1 hash_linkedlist 760714
6 2 skip_list 841669
7 2 cuckoo 3218608
8 2 prefix_hash 1059103
9 2 hash_linkedlist 930879
11 4 skip_list 1408960
12 4 cuckoo 5369472
13 4 prefix_hash 1857307
14 4 hash_linkedlist 1153886
16 8 skip_list 2640646
17 8 cuckoo 12487255
18 8 prefix_hash 2776104
19 8 hash_linkedlist 1260975
21 16 skip_list 4812408
22 16 cuckoo 20133317
23 16 prefix_hash 4696926
24 16 hash_linkedlist 2408215
