# line thread mrep count
1 1 skip_list 2819078
2 1 cuckoo 2253376
3 1 prefix_hash 2920348
4 1 hash_linkedlist 2686131
6 2 skip_list 3112423
7 2 cuckoo 3517084
8 2 prefix_hash 5073779
9 2 hash_linkedlist 3729282
11 4 skip_list 5625455
12 4 cuckoo 4503417
13 4 prefix_hash 8925972
14 4 hash_linkedlist 6059804
16 8 skip_list 11211581
17 8 cuckoo 9970411
18 8 prefix_hash 13872149
19 8 hash_linkedlist 12566490
21 16 skip_list 21764061
22 16 cuckoo 14973388
23 16 prefix_hash 26136665
24 16 hash_linkedlist 24837536
